站名,经度,纬度
布吉,114.121159,22.60233
长龙,114.113825,22.608053
双龙,114.277422,22.728806
荷坳,114.22431,22.673079
红岭,114.104584,22.54838
红岭南,114.104749,22.539943
世界之窗站,113.974216,22.5369
后亭,113.826874,22.752625
南山站,113.923483,22.524037
塘尾站,113.817878,22.702075
华强路站,114.085133,22.540459
国展北,113.777327,22.701776
福民,114.065915,22.523226
龙华,114.022419,22.651629
登良,113.937602,22.509146
宝安站,113.880396,22.55459
景田,114.043343,22.553419
红山,114.0234,22.621707
上塘,114.012838,22.637056
上梅林,114.059415,22.570459
白石龙,114.042431,22.601505
大剧院站,114.107811,22.5418
岗厦站,114.06819,22.534854
桃园,113.924781,22.531506
石芽岭,114.137989,22.628479
梅景,114.037934,22.561028
碧头,113.819958,22.784044
深圳大学,113.944173,22.538667
赤尾,114.083598,22.531374
梅村,114.052423,22.568443
银湖,114.089851,22.568308
留仙洞,113.943543,22.580534
永湖,114.218042,22.658995
大芬,114.138364,22.614191
怡景,114.140115,22.555856
海月,113.937715,22.500409
鹿丹村,114.108625,22.535708
宝华,113.88509,22.549635
赤湾,113.897525,22.479227
西丽,113.954396,22.580677
市民中心,114.06097,22.541834
文锦,114.131123,22.542455
下梅林,114.041768,22.565672
丹竹头,114.148054,22.619752
福田口岸,114.067731,22.515176
龙城广场,114.254592,22.716915
固戍,113.846792,22.601363
爱联,114.234423,22.697495
西乡,113.863048,22.575149
田贝,114.130052,22.56728
六约,114.180646,22.634322
前海湾站,113.897933,22.537335
红岭北,114.104586,22.562055
后海站,113.942498,22.518422
横岗,114.208994,22.648442
大新,113.915072,22.532232
杨美,114.079975,22.626777
大剧院,114.107811,22.5418
前海湾,113.897933,22.537335
民治,114.04085,22.617545
莲花村,114.067853,22.548646
木棉湾,114.130293,22.606997
沙尾,114.042579,22.520798
吉祥,114.244318,22.709488
下水径,114.110662,22.614833
松岗,113.829631,22.772271
华侨城站,113.985369,22.533489
洪浪北,113.910585,22.574543
塘朗,113.999666,22.590097
农林,114.018135,22.540411
通新岭,114.096273,22.549126
翻身,113.893232,22.55969
灵芝,113.904158,22.568964
草埔,114.1165,22.584447
华新,114.086654,22.548981
沙井,113.824434,22.730849
黄贝岭,114.136332,22.546095
红树湾南,113.971433,22.523023
布心,114.138045,22.580986
福永站,113.806076,22.673562
南联,114.265531,22.721967
桥头站,113.811001,22.688133
罗湖站,114.118623,22.531861
安托山,114.006236,22.548785
科学馆站,114.095173,22.540618
新秀站,114.149149,22.54773
机场北站,113.798296,22.651433
侨香,114.014378,22.549784
翠竹,114.129883,22.556188
园岭,114.104494,22.556122
岗厦北,114.067964,22.53832
上沙,114.035504,22.524612
洪湖,114.122465,22.566056
侨城北,113.989148,22.543992
新安,113.894625,22.547468
石厦,114.053616,22.523708
深湾站,113.97862,22.523078
坪洲,113.870711,22.568908
太安,114.137119,22.573466
民乐,114.048809,22.594144
海上世界,113.915111,22.485101
国贸站,114.118826,22.539671
水湾,113.919686,22.488389
深康,113.998846,22.546456
上水径,114.105337,22.622046
老街,114.116241,22.544301
坂田,114.070852,22.627483
会展中心站,114.061101,22.534769
五和,114.060681,22.626833
竹子林站,114.013917,22.533357
塘坑,114.192725,22.639179
兴东,113.919013,22.581822
泥岗,114.097634,22.567804
西丽湖,113.965648,22.593567
大学城,113.965307,22.581946
清湖,114.036538,22.664085
后瑞,113.835449,22.628835
碧海湾站,113.856093,22.575073
长岭陂,114.010275,22.599395
侨城东站,113.996651,22.532406
白石洲,113.967048,22.539604
晒布,114.122664,22.549238
向西村,114.125767,22.539792
香梅,114.039625,22.545491
临海,113.889323,22.54416
百鸽笼,114.13038,22.595442
湖贝,114.125437,22.544287
益田,114.050987,22.516287
机场东,113.822634,22.647001
鲤鱼门,113.903079,22.532005
水贝,114.124974,22.573988
东角头,113.931149,22.486325
福田,114.052879,22.540087
马鞍山,113.817005,22.716998
宝体,113.880641,22.560741
少年宫,114.06017,22.548627
深云,113.993727,22.556537
蛇口港,113.912331,22.476626
香蜜,114.023851,22.552772
湾厦,113.938604,22.493353
莲花西,114.050034,22.546668
桃源村,113.981962,22.5599
深圳湾公园,113.993114,22.521591
高新园,113.953842,22.540236
宝安中心,113.887233,22.554575
龙井,113.974687,22.56401
珠光,113.960559,22.56827
大运,114.228163,22.68572
下沙,114.024161,22.528994
皇岗村,114.059823,22.523138
后海,113.942498,22.518422
燕南,114.092561,22.544541
机场站,113.813663,22.624026
笋岗,114.111095,22.56335
莲花北,114.059402,22.560538
龙胜,114.01201,22.644739
皇岗口岸,114.073972,22.521799
黄木岗,114.086581,22.555791
八卦岭,114.094649,22.561941
香梅北,114.032716,22.55386
茶光,113.954311,22.574138
红树湾,113.968432,22.525142
华强北,114.085413,22.544441
人民南,114.118154,22.535514
购物公园,114.054581,22.534655
华强南,114.086825,22.537214
科苑,113.946195,22.527019
深圳北站,114.030865,22.610815
香蜜湖站,114.038637,22.538887
深圳北,114.030865,22.610815
