站名,经度,纬度
布吉,114.11605981386103,22.605015955205428
长龙,114.10871396094211,22.610732279955883
双龙,114.27258877984673,22.731623307397797
荷坳,114.21944973757103,22.675912799994705
红岭,114.09946559177207,22.551061728334243
红岭南,114.09963130958677,22.542625362818633
世界之窗站,113.96928448351409,22.539843511750796
后亭,113.82184414917664,22.755544412610927
南山站,113.91862308908836,22.527080964932757
塘尾站,113.81282730893183,22.70499195792584
华强路站,114.08000420947756,22.543144129686613
国展北,113.77218502264263,22.704632149010116
福民,114.06079433328122,22.525931473174566
龙华,114.01736211258664,22.65441489915397
登良,113.93273372894063,22.512172419119864
宝安站,113.87550463159428,22.55763279517188
景田,114.03824959099141,22.55616501649381
红山,114.01834279359002,22.624495713855552
上塘,114.00780498839295,22.63987254793021
上梅林,114.0542974989234,22.573171207008706
白石龙,114.03733606196093,22.604247693030835
大剧院站,114.10269652807666,22.5444833134091
岗厦站,114.06306684031424,22.53755574898154
桃园,113.91992015093783,22.534548312096632
石芽岭,114.13292177496436,22.6311810072814
梅景,114.0328499714251,22.563786197317572
碧头,113.81490752738694,22.786940192088995
深圳大学,113.93929548643088,22.54168090691186
赤尾,114.07846971199311,22.534060608905033
梅村,114.04731437487074,22.571168263997816
银湖,114.08472138108945,22.570988578680506
留仙洞,113.9386636228001,22.583545304062564
永湖,114.21317164871799,22.661825461525027
大芬,114.13329855306293,22.616895953280668
怡景,114.13505735315616,22.55857069179157
海月,113.93284716940305,22.503435392046327
鹿丹村,114.10351188247157,22.53839204504706
宝华,113.88020618049394,22.552681883099208
赤湾,113.89266031301739,22.482281571267666
西丽,113.94950084072246,22.583666355851697
市民中心,114.05585270037841,22.544546053758218
文锦,114.12604651984579,22.545158264798935
下梅林,114.03667656976758,22.568420561898105
丹竹头,114.14301134212681,22.622471270837718
福田口岸,114.0626094528212,22.5178792387664
龙城广场,114.24976053454098,22.719749372767232
固戍,113.84182487296528,22.60435422200265
爱联,114.2295758457311,22.70033050801892
西乡,113.85812167125178,22.57816964188429
田贝,114.124971723338,22.56997985684786
六约,114.17568922978685,22.63709861228579
前海湾站,113.89306501335226,22.540388369548538
红岭北,114.09946670231199,22.564735578022017
后海站,113.93762382185874,22.521439929092438
横岗,114.20410616060221,22.651263245813173
大新,113.91021264219427,22.535282127385802
杨美,114.0748407209181,22.629455330171805
大剧院,114.10269652807666,22.5444833134091
前海湾,113.89306501335226,22.540388369548538
民治,114.03575685391053,22.620288937585908
莲花村,114.06272918377424,22.551347284272456
木棉湾,114.12521062984456,22.609692177687723
沙尾,114.03748904308812,22.523547742364304
吉祥,114.23948049512038,22.712324256519608
下水径,114.1055462467849,22.61750934748175
